Code commune,Libelle de la commune,Population totale,APL aux medecins generalistes,APL aux medecins generalistes de 65 ans et moins,APL aux medecins generalistes de 62 ans et moins,Population standardisee par la consommation de soins par tranche d age
35122,La Gouesniere,1943,"4,484","4,158","3,75","1858,184"
35123,Goven,4321,"3,434","3,259","3,06","4179,779"
35124,Grand Fougeray,2455,"3,103","2,722","2,473","2500,212"
35125,La Guerche de Bretagne,4249,"2,813","2,813","2,495","4662,66"
35126,Guichen,8674,"3,081","2,864","2,652","8358,07"
35127,Guignen,3986,"3,339","3,091","2,699","3732,033"
35128,Guipel,1701,"3,243","3,047","2,772","1657,314"
35130,Hede Bazouges,2247,"4,544","4,407","4,098","2181,907"
35131,L Hermitage,4629,"4,249","4,05","3,867","4592,666"
35132,Hirel,1389,"2,132","1,933","1,774","1428,186"
35133,Iffendic,4553,"2,655","2,433","2,295","4398,258"
35134,Les Iffs,273,"3,66","3,553","3,191","267,74"
35135,Irodouer,2263,"3,148","2,893","2,61","2135,281"
35136,Janze,8470,"3,51","3,396","3,094","8373,945"
35137,Javene,2105,"2,426","2,346","1,889","2070,34"
35138,Laignelet,1173,"1,934","1,773","1,352","1201,939"
35139,Laille,5116,"4,02","3,749","3,479","4976,951"
35140,Lalleu,561,"2,031","1,921","1,719","555,082"
35141,Landavran,693,"3,228","3,09","2,526","624,309"
35142,Landean,1183,"1,611","1,307","0,862","1212,748"
35143,Landujan,929,"3,451","3,04","2,665","877,081"
35144,Langan,1031,"3,474","3,425","3,158","982,489"
35145,Langon,1385,"1,65","1,575","1,434","1444,689"
35146,Langouet,606,"3,821","3,757","3,471","575,078"
35148,Lanrigan,157,"3,468","3,424","3,361","154,721"
35149,Lassy,1757,"3,004","2,829","2,52","1625,384"
35150,Lecousse,3260,"3,172","2,938","2,279","3413,176"
35151,Lieuron,777,"3,495","3,345","2,976","762,149"
35152,Liffre,7949,"4,169","3,716","3,602","7767,205"
35153,Lillemer,367,"5,049","4,613","4,185","346,129"
